Dem_N+S	Dem_C	HOrSEIN HIDRO   COSTO PCOMB
6085	6120	3337	6121	100	200
6085	6120	3337	5462	75	200
6085	6120	3337	5998	75	200
6085	6120	3337	6121	75	200
6085	6120	3337	5462	150	200
6085	6120	3337	5998	150	200
6085	6120	3337	6121	150	200
6085	6120	0	5462	100	200
6085	6120	0	5998	100	200
6085	6120	0	6121	100	200
6085	6120	0	5462	75	200
6085	6120	0	5998	75	200
6085	6120	0	6121	75	200
6085	6120	0	5462	150	200
6085	6120	0	5998	150	200
6085	6120	0	6121	150	200
3087	5031	0	5462	100	200
3087	5031	0	5998	100	200
3087	5031	0	6121	100	200
3087	5031	0	5462	75	200
3087	5031	0	5998	75	200
3087	5031	0	6121	75	200
3087	5031	0	5462	150	200
3087	5031	0	5998	150	200
3087	5031	0	6121	150	200
3087	5031	2200	5462	100	200
3087	5031	2200	5998	100	200
3087	5031	2200	6121	100	200
3087	5031	2200	5462	75	200
3087	5031	2200	5998	75	200
3087	5031	2200	6121	75	200
3087	5031	2200	5462	150	200
3087	5031	2200	5998	150	200
3087	5031	2200	6121	150	200
3087	5031	2100	5462	100	200
3087	5031	2100	5998	100	200
3087	5031	2100	6121	100	200
3087	5031	2100	5462	75	200
3087	5031	2100	5998	75	200
3087	5031	2100	6121	75	200
3087	5031	2100	5462	150	200
3087	5031	2100	5998	150	200
3087	5031	2100	6121	150	200
3834	8371	4807	5462	100	200
3834	8371	4807	5998	100	200
3834	8371	4807	6121	100	200
3834	8371	4807	5462	75	200
3834	8371	4807	5998	75	200
3834	8371	4807	6121	75	200
3834	8371	4807	5462	150	200
3834	8371	4807	5998	150	200
3834	8371	4807	6121	150	200
3834	8371	3337	5462	100	200
3834	8371	3337	5998	100	200
3834	8371	3337	6121	100	200
3834	8371	3337	5462	75	200
3834	8371	3337	5998	75	200
3834	8371	3337	6121	75	200
3834	8371	3337	5462	150	200
3834	8371	3337	5998	150	200
3834	8371	3337	6121	150	200
3834	8371	0	5462	100	200
3834	8371	0	5998	100	200
3834	8371	0	6121	100	200
3834	8371	0	5462	75	200
3834	8371	0	5998	75	200
3834	8371	0	6121	75	200
3834	8371	0	5462	150	200
3834	8371	0	5998	150	200
3834	8371	0	6121	150	200
1754	3515	0	5462	100	200
1754	3515	0	5998	100	200
1754	3515	0	6121	100	200
1754	3515	0	5462	75	200
1754	3515	0	5998	75	200
1754	3515	0	6121	75	200
1754	3515	0	5462	150	200
1754	3515	0	5998	150	200
1754	3515	0	6121	150	200
6085	6120	4807	5462	100	50
6085	6120	4807	5998	100	50
6085	6120	4807	6121	100	50
6085	6120	4807	5462	75	50
6085	6120	4807	5998	75	50
6085	6120	4807	6121	75	50
6085	6120	4807	5462	150	50
6085	6120	4807	5998	150	50
6085	6120	4807	6121	150	50
6085	6120	3337	5462	100	50
6085	6120	3337	5998	100	50
6085	6120	3337	6121	100	50
6085	6120	3337	5462	75	50
6085	6120	3337	5998	75	50
6085	6120	3337	6121	75	50
6085	6120	3337	5462	150	50
6085	6120	3337	5998	150	50
6085	6120	3337	6121	150	50
6085	6120	0	5462	100	50
6085	6120	0	5998	100	50
6085	6120	0	6121	100	50
6085	6120	0	5462	75	50
6085	6120	0	5998	75	50
6085	6120	0	6121	75	50
6085	6120	0	5462	150	50
6085	6120	0	5998	150	50
6085	6120	0	6121	150	50
3087	5031	0	5462	100	50
3087	5031	0	5998	100	50
3087	5031	0	6121	100	50
3087	5031	0	5462	75	50
3087	5031	0	5998	75	50
3087	5031	0	6121	75	50
3087	5031	0	5462	150	50
3087	5031	0	5998	150	50
3087	5031	0	6121	150	50
3087	5031	2200	5462	100	50
3087	5031	2200	5998	100	50
3087	5031	2200	6121	100	50
3087	5031	2200	5462	75	50
3087	5031	2200	5998	75	50
3087	5031	2200	6121	75	50
3087	5031	2200	5462	150	50
3087	5031	2200	5998	150	50
3087	5031	2200	6121	150	50
3087	5031	2100	5462	100	50
3087	5031	2100	5998	100	50
3087	5031	2100	6121	100	50
3087	5031	2100	5462	75	50
3087	5031	2100	5998	75	50
3087	5031	2100	6121	75	50
3087	5031	2100	5462	150	50
3087	5031	2100	5998	150	50
3087	5031	2100	6121	150	50
3834	8371	4807	5462	100	50
3834	8371	4807	5998	100	50
3834	8371	4807	6121	100	50
3834	8371	4807	5462	75	50
3834	8371	4807	5998	75	50
3834	8371	4807	6121	75	50
3834	8371	4807	5462	150	50
3834	8371	4807	5998	150	50
3834	8371	4807	6121	150	50
3834	8371	3337	5462	100	50
3834	8371	3337	5998	100	50
3834	8371	3337	6121	100	50
3834	8371	3337	5462	75	50
3834	8371	3337	5998	75	50
3834	8371	3337	6121	75	50
3834	8371	3337	5462	150	50
3834	8371	3337	5998	150	50
3834	8371	3337	6121	150	50
3834	8371	0	5462	100	50
3834	8371	0	5998	100	50
3834	8371	0	6121	100	50
3834	8371	0	5462	75	50
3834	8371	0	5998	75	50
3834	8371	0	6121	75	50
3834	8371	0	5462	150	50
3834	8371	0	5998	150	50
3834	8371	0	6121	150	50
1754	3515	0	5462	100	50
1754	3515	0	5998	100	50
1754	3515	0	6121	100	50
1754	3515	0	5462	75	50
1754	3515	0	5998	75	50
1754	3515	0	6121	75	50
1754	3515	0	5462	150	50
1754	3515	0	5998	150	50
1754	3515	0	6121	150	50
